album_id,name,artist,no_tracks,release_date,popularity,genres
Lxnksj450JT,So Much Fun,Auryuw432BY,19,2019-08-16 00:00:00,75,[]
Laqxgd634LA,17,Aaggjz185JM,11,2017-08-25 00:00:00,88,[]
Llgbvc794OR,TRUE,Auedyx118TB,12,2013-09-13 00:00:00,8,[]
Lymxth799PX,I met you when I was 18. (the playlist),Aivlsf137OU,17,2018-05-31 00:00:00,81,[]
Lwanys837RK,Narrated For You,Aohbbm346VG,12,2018-11-16 00:00:00,84,[]
Lohhlw276DS,Lover,Ajnqvy441TG,18,2019-08-23 00:00:00,87,[]
Lqyzje134RW,A Place We Knew,Adxsoo040GB,12,2019-03-22 00:00:00,78,[]
Lhofib592FJ,DROPPED OUTTA COLLEGE,Aevmxv032MK,8,2019-11-22 00:00:00,74,[]
Lswteg424RZ,Memories...Do Not Open,Avgule134IT,12,2017-04-07 00:00:00,79,[]
Lparsz010BY,The Heist,Alpwfr018RB,15,2012-10-09 00:00:00,78,[]
Ljmdgl011XA,Speak Your Mind (Deluxe),Ajpqfk054TF,18,2018-04-27 00:00:00,77,[]
Lcgyfe708UO,Love In The Future (Expanded Edition),Acfbkh603MR,20,2013-08-30 00:00:00,79,[]
Ldakhg027FX,A Love Letter To You 4,Assnvy671FH,21,2019-11-22 00:00:00,78,[]
Ljaewl762ZY,Post Malone (feat. RANI) [Joe Stone Remix],Avkpmy485VX,2,2019-08-16 00:00:00,64,[]
Lbsdcb810BW,"Don't Forget About Me, Demos",Asuojj767AA,6,2018-10-16 00:00:00,71,[]
Lvmvdt087XY,Zone 59,Aavjyf751HP,21,2019-11-29 00:00:00,59,[]
Ltexmi971ZO,BALLADS 1,Athsfw932GI,12,2018-10-26 00:00:00,83,[]
Lkarop094OU,Nibiru,Akmfcf543VU,18,2019-11-29 00:00:00,70,[]
Ltkflz424AF,The Game (2011 Remaster),Aynmgo955OB,10,1980-06-27 00:00:00,78,[]
Lueqnh153GL,Dua Lipa (Complete Edition),Azvkpw399TU,25,2015-01-01 00:00:00,54,[]
Ltdbrc451RY,Camila,Auztlk030MY,11,2018-01-12 00:00:00,79,[]
Lwapfh019ZF,Championships,Adgtoc789BF,19,2018-11-30 00:00:00,77,[]
Lomhyq968OC,GINGER,Abmpeq084TT,12,2019-08-23 00:00:00,72,[]
Lfemvf869ZG,O Embaixador in Cariri (Ao Vivo),Aibysa619BY,17,2019-12-05 00:00:00,67,[]
Ltuapx610EH,Living Facts,Axsccy438DL,3,2018-06-03 00:00:00,67,[]
Lyyqfs256RW,Soul Searching,Asbteg742KP,11,2019-08-09 00:00:00,76,[]
Lhdzze510VG,"All I Want (From ""High School Musical: The Musical: The Series"")",Abiswn045GZ,2,2019-11-27 00:00:00,69,[]
Lxtmrr351SJ,x (Wembley Edition),Aulenb740HF,24,2013-01-01 00:00:00,68,[]
Lmszfm128VB,Historias de un Capricornio,Aavyqb155FC,15,2019-12-20 00:00:00,68,[]
Luwfng335SS,Currents,Aggbmb023AK,13,2015-07-17 00:00:00,83,[]
Lahllb052NH,Suncity,Aqtpjw840FT,7,2018-10-18 00:00:00,74,[]
Lpddjc308UY,Rare,Adpcab371AB,13,2020-01-10 00:00:00,78,[]
Lncska782JC,Music To Be Murdered By,Aarvof428TN,20,2020-01-17 00:00:00,83,[]
Lnfmmk242SC,Circles,Acreoe822GJ,12,2020-01-17 00:00:00,79,[]
Lqhlfj823IO,Manic,Acbdhh778WH,16,2020-01-17 00:00:00,78,[]
Lxqumd070QF,I Don't Speak The Language,Ajxqkk090XH,9,1983-03-19 00:00:00,67,[]
Lilktk820ND,Where the Light Is,Airlxl550TJ,10,2019-01-06 00:00:00,74,[]
Lwsdwe326UO,Big Drip,Awaxtd830EO,2,2020-01-17 00:00:00,46,[]
Lzoxha825CT,MAP OF THE SOUL : PERSONA,Arottg631PO,7,2019-04-12 00:00:00,82,[]
Lmmxfd364MU,Les derniers salopards,Avtoiu935SD,14,2020-01-16 00:00:00,68,[]
Lhnygi002IP,Cuz I Love You (Super Deluxe),Avxxpu627LZ,16,2019-04-19 00:00:00,71,[]
Luzinu162FV,dont smile at me (Expanded Edition),Akczza920HQ,11,2017-08-11 00:00:00,53,[]
Lvbivg272BO,Funeral,Atuyjh760RM,24,2020-01-31 00:00:00,63,[]
